researcher,title,author,source,pyear,tc,ac,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ahmed,PD-1 expression on HIV-specific T cells is associated with T-cell exhaustion and disease progression,"Day, Cheryl L.; Kaufmann, Daniel E.; Kiepiela, Photini; Brown, Julia A.; Moodley, Eshia S.; Reddy, Sharon; Mackey, Elizabeth W.; Miller, Joseph D.; Leslie, Alasdair J.; DePierres, Chantal; Mncube, Zenele; Duraiswamy, Jaikumar; Zhu, Baogong; Eichbaum, Quentin; Altfeld, Marcus; Wherry, E. John; Coovadia, Hoosen M.; Goulder, Philip J. R.; Klenerman, Paul; Ahmed, Rafi; Freeman, Gordon J.; Walker, Bruce D.",NATURE,2006,918,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,105,139,119,118,151,125,117,36
ahmed,The function of programmed cell death 1 and its ligands in regulating autoimmunity and infection,"Sharpe, Arlene H.; Wherry, E. John; Ahmed, Rafi; Freeman, Gordon J.",NATURE IMMUNOLOGY,2007,387,48.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,55,61,57,57,65,53,14
ahmed,Molecular signature of CD8(+) T cell exhaustion during chronic viral infection,"Wherry, E. John; Ha, Sang-Jun; Kaech, Susan M.; Haining, W. Nicholas; Sarkar, Surojit; Kalia, Vandana; Subramaniam, Shruti; Blattman, Joseph N.; Barber, Daniel L.; Ahmed, Rafi",IMMUNITY,2007,380,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,54,62,74,68,71,27
ahmed,mTOR regulates memory CD8 T-cell differentiation,"Araki, Koichi; Turner, Alexandra P.; Shaffer, Virginia Oliva; Gangappa, Shivaprakash; Keller, Susanne A.; Bachmann, Martin F.; Larsen, Christian P.; Ahmed, Rafi",NATURE,2009,346,57.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,65,84,85,78,21
ahmed,Systems biology approach predicts immunogenicity of the yellow fever vaccine in humans,"Querec, Troy D.; Akondy, Rama S.; Lee, Eva K.; Cao, Weiping; Nakaya, Helder I.; Teuwen, Dirk; Pirani, Ali; Gernert, Kim; Deng, Jiusheng; Marzolf, Bruz; Kennedy, Kathleen; Wu, Haiyan; Bennouna, Soumaya; Oluoch, Herold; Miller, Joseph; Vencio, Ricardo Z.; Mulligan, Mark; Aderem, Alan; Ahmed, Rafi; Pulendran, Bali",NATURE IMMUNOLOGY,2009,279,46.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,50,57,60,78,13
ahmed,Rapid cloning of high-affinity human monoclonal antibodies against influenza virus,"Wrammert, Jens; Smith, Kenneth; Miller, Joe; Langley, William A.; Kokko, Kenneth; Larsen, Christian; Zheng, Nai-Ying; Mays, Israel; Garman, Lori; Helms, Christina; James, Judith; Air, Gillian M.; Capra, J. Donald; Ahmed, Rafi; Wilson, Patrick C.",NATURE,2008,246,35.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,33,37,48,51,50,20
ahmed,Redefining Chronic Viral Infection,"Virgin, Herbert W.; Wherry, E. John; Ahmed, Rafi",CELL,2009,206,34.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42,47,46,53,15
ahmed,Liver-infiltrating lymphocytes in chronic human hepatitis C virus infection display an exhausted phenotype with high levels of PD-1 and low levels of CD127 expression,"Radziewicz, Henry; Ibegbu, Chris C.; Fernandez, Marina L.; Workowski, Kimberly A.; Obideen, Kamil; Wehbi, Mohammad; Hanson, Holly L.; Steinberg, James P.; Masopust, David; Wherry, E. John; Altman, John D.; Rouse, Barry T.; Freeman, Gordon J.; Ahmed, Rafi; Grakoui, Arash",JOURNAL OF VIROLOGY,2007,204,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,39,40,29,23,23,11
ahmed,Functional and genomic profiling of effector CD8 T cell subsets with distinct memory fates,"Sarkar, Surojit; Kalia, Vandana; Haining, W. Nicholas; Konieczny, Bogumila T.; Subramaniam, Shruti; Ahmed, Rafi",JOURNAL OF EXPERIMENTAL MEDICINE,2008,203,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,31,50,37,35,37,5
ahmed,Broadly cross-reactive antibodies dominate the human B cell response against 2009 pandemic H1N1 influenza virus infection,"Wrammert, Jens; Koutsonanos, Dimitrios; Li, Gui-Mei; Edupuganti, Srilatha; Sui, Jianhua; Morrissey, Michael; McCausland, Megan; Skountzou, Ioanna; Hornig, Mady; Lipkin, W. Ian; Mehta, Aneesh; Razavi, Behzad; Del Rio, Carlos; Zheng, Nai-Ying; Lee, Jane-Hwei; Huang, Min; Ali, Zahida; Kaur, Kaval; Andrews, Sarah; Amara, Rama Rao; Wang, Youliang; Das, Suman Ranjan; O'Donnell, Christopher David; Yewdell, Jon W.; Subbarao, Kanta; Marasco, Wayne A.; Mulligan, Mark J.; Compans, Richard; Ahmed, Rafi; Wilson, Patrick C.",JOURNAL OF EXPERIMENTAL MEDICINE,2011,176,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,58,63,16
