researcher,title,author,source,pyear,tc,ac,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
mccammonj,Electrostatics of nanosystems: Application to microtubules and the ribosome,"Baker, NA; Sept, D; Joseph, S; Holst, MJ; McCammon, JA",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2001,2431,173.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,27,84,141,171,227,253,296,339,334,406,125
mccammonj,BROWNIAN DYNAMICS WITH HYDRODYNAMIC INTERACTIONS,"ERMAK, DL; MCCAMMON, JA",JOURNAL OF CHEMICAL PHYSICS,1978,1404,37.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,11,4,12,16,13,28,20,16,21,25,26,27,32,34,43,44,45,36,44,48,46,39,46,60,47,64,67,57,77,78,82,80,73,28
mccammonj,DYNAMICS OF FOLDED PROTEINS,"MCCAMMON, JA; GELIN, BR; KARPLUS, M",NATURE,1977,868,22.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,34,33,30,31,35,13,15,22,16,17,13,22,16,17,17,16,12,6,15,15,13,11,13,22,20,19,19,24,28,39,44,36,39,53,39,19
mccammonj,Molecular dynamics simulations of biomolecules,"Karplus, M; McCammon, JA",NATURE STRUCTURAL BIOLOGY,2002,828,63.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,54,51,71,68,73,76,84,84,92,93,46
mccammonj,THE STRUCTURE OF LIQUID WATER AT AN EXTENDED HYDROPHOBIC SURFACE,"LEE, CY; MCCAMMON, JA; ROSSKY, PJ",JOURNAL OF CHEMICAL PHYSICS,1984,685,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,19,12,24,17,19,14,21,23,34,27,21,29,29,25,26,17,23,16,34,25,23,27,36,32,43,24,21,6
mccammonj,PREDICTION OF PH-DEPENDENT PROPERTIES OF PROTEINS,"ANTOSIEWICZ, J; MCCAMMON, JA; GILSON, MK",JOURNAL OF MOLECULAR BIOLOGY,1994,653,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,36,45,33,36,29,32,41,37,41,44,43,34,39,28,30,30,24,21,2
mccammonj,PDB2PQR: an automated pipeline for the setup of Poisson-Boltzmann electrostatics calculations,"Dolinsky, TJ; Nielsen, JE; McCammon, JA; Baker, NA",NUCLEIC ACIDS RESEARCH,2004,529,48.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,18,16,32,58,49,95,105,116,34
mccammonj,The statistical-thermodynamic basis for computation of binding affinities: A critical review,"Gilson, MK; Given, JA; Bush, BL; McCammon, JA",BIOPHYSICAL JOURNAL,1997,514,28.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,31,18,22,23,19,26,31,28,32,29,43,47,40,47,38,11
mccammonj,THE INTERNAL DYNAMICS OF GLOBULAR-PROTEINS,"KARPLUS, M; MCCAMMON, JA",CRC CRITICAL REVIEWS IN BIOCHEMISTRY,1981,493,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,54,51,45,43,36,36,43,19,23,10,7,10,10,3,2,11,6,7,3,4,3,7,3,5,4,5,2,4,0,5,3,0
mccammonj,ELECTROSTATICS AND DIFFUSION OF MOLECULES IN SOLUTION - SIMULATIONS WITH THE UNIVERSITY-OF-HOUSTON BROWNIAN DYNAMICS PROGRAM,"MADURA, JD; BRIGGS, JM; WADE, RC; DAVIS, ME; LUTY, BA; ILIN, A; ANTOSIEWICZ, J; GILSON, MK; BAGHERI, B; SCOTT, LR; MCCAMMON, JA",COMPUTER PHYSICS COMMUNICATIONS,1995,484,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,18,31,22,39,40,31,35,37,30,28,30,23,23,29,19,18,2
